date,country_code,covid,coronavirus,search_max
2019-12-01,HU,0,0,0
2019-12-08,HU,0,0,0
2019-12-15,HU,0,0,0
2019-12-22,HU,0,0,0
2019-12-29,HU,0,0,0
2020-01-05,HU,0,0,0
2020-01-12,HU,0,0,0
2020-01-19,HU,0,6,6
2020-01-26,HU,0,39,39
2020-02-02,HU,0,19,19
2020-02-09,HU,0,10,10
2020-02-16,HU,0,8,8
2020-02-23,HU,2,47,47
2020-03-01,HU,4,45,45
2020-03-08,HU,15,99,99
2020-03-15,HU,28,100,100
2020-03-22,HU,26,80,80
2020-03-29,HU,27,72,72
2020-04-05,HU,27,60,60
2020-04-12,HU,23,42,42
2020-04-19,HU,19,30,30
2020-04-26,HU,19,26,26
2020-05-03,HU,20,22,22
2020-05-10,HU,16,19,19
2020-05-17,HU,16,15,16
2020-05-24,HU,13,12,13
2020-05-31,HU,12,12,12
2020-06-07,HU,11,10,11
2020-06-14,HU,13,11,13
2020-06-21,HU,13,12,13
2020-06-28,HU,15,11,15
2020-07-05,HU,19,14,19
2020-07-12,HU,28,14,28
2020-07-19,HU,24,12,24
2020-07-26,HU,25,14,25
2020-08-02,HU,27,12,27
2020-08-09,HU,35,14,35
2020-08-16,HU,31,11,31
2020-08-23,HU,41,13,41
2020-08-30,HU,54,18,54
2020-09-06,HU,50,16,50
2020-09-13,HU,49,15,49
2020-09-20,HU,44,11,44
2020-09-27,HU,35,10,35
2020-10-04,HU,35,10,35
2020-10-11,HU,35,9,35
2020-10-18,HU,44,11,44
2020-10-25,HU,59,12,59
2020-11-01,HU,78,12,78
2020-11-08,HU,91,13,91
2020-11-15,HU,80,11,80
